,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker_code
0,2024-01-10,7.510000228881836,7.519999980926514,7.489999771118164,7.5,255687,0,0,AFI.AX
1,2024-01-10,12.449999809265137,12.449999809265137,12.229999542236328,12.260000228881836,262191,0,0,CKF.AX
2,2024-01-10,294.6199951171875,298.489990234375,294.3699951171875,297.239990234375,193968,0,0,COH.AX
3,2024-01-10,19.469999313354492,19.989999771118164,19.450000762939453,19.760000228881836,236711,0,0,CTD.AX
4,2024-01-10,2.7899999618530273,2.8299999237060547,2.759999990463257,2.819999933242798,110769,0,0,HPI.AX
5,2024-01-10,37.779998779296875,37.849998474121094,37.66999816894531,37.689998626708984,90880,0,0,NDQ.AX
6,2024-01-10,51.7599983215332,51.849998474121094,51.060001373291016,51.15999984741211,369370,0,0,RHC.AX
7,2024-01-10,26.670000076293945,26.860000610351562,26.469999313354492,26.469999313354492,2456468,0,0,RMD.AX
8,2024-01-10,2.8299999237060547,2.8299999237060547,2.740000009536743,2.799999952316284,398750,0,0,SHV.AX
9,2024-01-10,32.54999923706055,32.689998626708984,32.2400016784668,32.41999816894531,333689,0,0,SOL.AX
10,2024-01-10,65.91000366210938,66.0999984741211,65.41000366210938,65.52999877929688,6962,0,0,VAE.AX
11,2024-01-10,92.56999969482422,92.7699966430664,92.1500015258789,92.19999694824219,374020,0,0,VAS.AX
12,2024-01-10,111.4000015258789,111.68000030517578,111.13999938964844,111.18000030517578,56469,0,0,VGS.AX
13,2024-01-10,0.6687620878219604,0.6714112758636475,0.6681678295135498,0.6705378890037537,0,0,0,AUDUSD=X
14,2024-01-10,117.16000366210938,117.5,117.08000183105469,117.26000213623047,13493,0,0,VWRA.L
15,2024-01-10,124.55000305175781,124.7699966430664,123.93000030517578,123.93000030517578,39533,0,0,A200.AX
